,country,year,population,yearly_%_change,migrants,median_age,fertility_rate,density(P/Km²),urban_pop_%,rank
137,4,1970,64177,1.8,-240.0,17.4,4.0,146,35.4,196
138,4,1965,58698,1.63,-376.0,17.8,4.3,133,37.9,194
139,4,1960,54131,1.74,-300.0,18.5,4.5,123,40.5,194
140,4,1955,49648,1.75,-195.0,18.8,4.5,113,37.2,194
147,5,2010,40895752,1.01,-24000.0,29.6,2.37,15,91.6,32
148,5,2005,38892931,1.07,-25000.0,28.5,2.48,14,90.6,30
149,5,2000,36870787,1.15,-25600.0,27.6,2.63,13,89.6,31
150,5,1995,34828170,1.32,-21000.0,27.1,2.91,13,88.6,31
152,5,1985,30216279,1.61,28000.0,27.1,3.15,11,85.5,29
154,5,1975,25865776,1.61,28400.0,27.2,3.15,9,81.6,28
155,5,1970,23880561,1.51,26000.0,27.1,3.05,9,79.2,28
156,5,1965,22159650,1.59,24400.0,26.9,3.09,8,76.8,28
157,5,1960,20481779,1.74,28167.0,26.6,3.13,7,74.1,28
159,6,2020,2963243,0.19,-4998.0,35.4,1.76,104,62.8,137
160,6,2019,2957731,0.2,-4998.0,34.1,1.73,104,62.8,137
161,6,2018,2951745,0.24,-4998.0,34.1,1.73,104,62.8,138
162,6,2017,2944791,0.29,-4998.0,34.1,1.73,103,62.8,138
163,6,2016,2936143,0.36,-4998.0,34.1,1.73,103,62.8,138
164,6,2015,2925553,0.33,-6107.0,33.8,1.72,103,62.9,139
165,6,2010,2877319,-0.71,-36672.0,32.9,1.72,101,63.4,139
166,6,2005,2981269,-0.58,-32104.0,31.8,1.65,105,63.9,136
169,6,1990,3538171,1.18,-13506.0,27.2,2.6,124,67.4,121
170,6,1985,3335940,1.48,-10246.0,25.3,2.5,117,67.1,119
171,6,1980,3099754,1.82,3443.0,23.5,2.6,109,66.0,120
172,6,1975,2832759,2.33,17281.0,21.8,3.04,99,63.6,118
173,6,1970,2525068,2.69,20680.0,20.3,3.45,89,59.9,119
174,6,1965,2211319,3.36,14067.0,20.6,4.45,78,55.6,121
175,6,1960,1874121,3.69,11986.0,22.4,4.9,66,51.3,121
176,6,1955,1563507,2.93,9973.0,22.7,4.49,55,46.0,121
192,7,1965,57360,1.14,-865.0,19.1,4.4,319,50.7,196
193,7,1960,54211,4.39,557.0,18.1,5.15,301,50.8,193
194,7,1955,43724,2.81,-316.0,18.1,5.65,243,50.9,196
219,8,2010,8409949,0.38,30753.0,41.9,1.4,102,57.4,95
221,8,2000,8069276,0.2,13016.0,38.2,1.39,98,60.2,90
223,8,1990,7723949,0.28,22200.0,36.5,1.45,94,63.0,83
224,8,1985,7614868,0.01,3600.0,35.8,1.6,92,64.3,79
225,8,1980,7609752,-0.07,1100.0,35.0,1.65,92,65.4,74
226,8,1975,7637689,0.32,16400.0,33.9,2.04,93,65.3,66
227,8,1970,7516239,0.57,10080.0,33.6,2.57,91,65.3,66
228,8,1965,7305158,0.65,3199.0,34.7,2.78,89,65.0,59
229,8,1960,7070766,0.34,-10400.0,35.4,2.57,86,64.7,64
230,8,1955,6953406,0.05,-15600.0,35.1,2.1,84,64.2,59
231,9,2020,10139177,0.91,1200.0,32.3,2.08,123,56.2,90
232,9,2019,10047718,0.99,1200.0,30.7,2.09,122,55.8,90
233,9,2018,9949537,1.06,1200.0,30.7,2.09,120,55.5,91
234,9,2017,9845320,1.12,1200.0,30.7,2.09,119,55.2,90
235,9,2016,9736043,1.18,1200.0,30.7,2.09,118,55.0,91
236,9,2015,9622745,1.27,1700.0,30.3,2.09,116,54.7,91
237,9,2010,9032461,1.13,10716.0,28.7,1.83,109,53.4,91
238,9,2005,8538605,1.0,7305.0,27.1,1.9,103,52.4,90
239,9,2000,8122741,0.88,-22370.0,25.6,2.25,98,51.4,89
240,9,1995,7775424,1.43,-23023.0,24.6,2.9,94,52.2,86
241,9,1990,7242761,1.67,-32314.0,24.1,3.2,88,53.7,86
242,9,1985,6666447,1.62,-20314.0,22.8,3.3,81,53.5,84
243,9,1980,6150733,1.63,-10093.0,20.9,3.8,74,52.8,84
244,9,1975,5674133,1.84,-10093.0,19.1,4.6,69,51.9,81
245,9,1970,5180023,2.44,-8000.0,18.2,5.4,63,50.0,80
246,9,1965,4592609,3.35,0.0,19.1,6.0,56,51.2,88
247,9,1960,3895397,3.19,0.0,22.0,5.6,47,52.7,85
248,9,1955,3329387,2.6,0.0,22.1,5.2,40,50.0,88
249,10,2020,393244,0.97,1000.0,32.3,1.76,39,86.1,178
250,10,2019,389482,1.0,1000.0,31.1,1.8,39,86.0,178
251,10,2018,385637,1.02,1000.0,31.1,1.8,39,86.0,177
252,10,2017,381755,1.01,1000.0,31.1,1.8,38,85.9,177
253,10,2016,377930,1.0,1000.0,31.1,1.8,38,85.7,177
254,10,2015,374206,1.06,1000.0,30.9,1.81,37,85.5,178
255,10,2010,354942,1.79,2907.0,29.4,1.91,35,83.8,178
256,10,2005,324859,1.74,2375.0,28.1,1.87,32,83.3,177
257,10,2000,298051,1.24,-600.0,27.0,2.33,30,82.0,177
258,10,1995,280184,1.8,-64.0,25.0,2.64,28,81.0,176
259,10,1990,256223,1.78,-162.0,23.6,2.65,26,79.9,177
260,10,1985,234578,2.18,129.0,21.8,3.05,23,76.7,177
261,10,1980,210591,2.2,596.0,20.2,2.95,21,73.1,177
262,10,1975,188896,2.21,190.0,19.7,3.54,19,70.0,176
263,10,1970,169377,3.87,2786.0,19.1,3.58,17,66.8,174
264,10,1965,140059,5.04,2775.0,18.7,4.5,14,63.3,177
265,10,1960,109534,4.33,1576.0,19.3,4.31,11,59.7,175
266,10,1955,88631,2.3,-184.0,20.1,4.05,9,55.9,177
281,11,1970,212605,2.55,-1607.0,17.5,6.97,280,83.8,172
282,11,1965,187431,2.91,-839.0,16.8,7.17,247,82.5,172
283,11,1960,162427,3.99,1572.0,19.6,6.97,214,82.3,172
284,11,1955,133585,2.93,616.0,19.2,6.97,176,75.5,172
321,12,2020,9449323,-0.03,8730.0,40.3,1.71,47,79.2,96
322,12,2019,9452411,0.0,8730.0,39.7,1.66,47,78.9,95
323,12,2018,9452617,0.03,8730.0,39.7,1.66,47,78.6,95
324,12,2017,9450231,0.05,8730.0,39.7,1.66,47,78.3,94
325,12,2016,9445643,0.07,8730.0,39.7,1.66,47,77.9,93
326,12,2015,9439423,0.04,14425.0,39.5,1.65,47,77.6,92
327,12,2010,9420574,-0.3,12787.0,38.9,1.44,46,75.1,88
328,12,2005,9562088,-0.64,-1276.0,38.1,1.26,47,72.8,82
329,12,2000,9871632,-0.41,11229.0,36.5,1.31,49,70.4,78
330,12,1995,10077608,-0.15,-12611.0,34.7,1.68,50,68.4,74
331,12,1990,10151134,0.5,-4604.0,33.1,2.08,50,66.4,69
332,12,1985,9901493,0.68,9423.0,32.0,2.09,49,62.2,68
333,12,1980,9569847,0.68,7660.0,31.3,2.09,47,56.9,63
334,12,1975,9252779,0.75,7429.0,30.7,2.25,46,51.0,60
335,12,1970,8913552,0.94,13117.0,30.3,2.28,44,44.3,58
336,12,1965,8505722,0.92,-25077.0,28.9,2.59,42,38.4,51
337,12,1960,8124881,0.96,-32907.0,28.2,2.73,40,32.6,55
351,13,1980,9868995,0.2,14705.0,34.3,1.7,326,95.4,58
352,13,1975,9771586,0.29,14196.0,34.3,2.01,323,94.5,58
353,13,1970,9632180,0.4,9458.0,34.6,2.39,318,93.8,55
354,13,1965,9443939,0.6,7661.0,34.9,2.65,312,93.1,43
355,13,1960,9167365,0.62,9327.0,35.1,2.5,303,92.5,47
356,13,1955,8887274,0.57,10742.0,34.6,2.37,294,92.0,43
357,14,2020,397628,1.86,1200.0,25.5,2.32,17,46.1,177
358,14,2019,390353,1.9,1200.0,24.0,2.53,17,45.9,177
359,14,2018,383071,1.94,1200.0,24.0,2.53,17,45.6,178
360,14,2017,375769,2.0,1200.0,24.0,2.53,16,45.5,179
361,14,2016,368400,2.07,1200.0,24.0,2.53,16,45.3,179
362,14,2015,360933,2.28,1519.0,23.7,2.58,16,45.2,179
363,14,2010,322464,2.59,1744.0,21.9,2.84,14,45.1,179
364,14,2005,283800,2.79,1159.0,20.3,3.35,12,45.2,180
365,14,2000,247315,3.63,2382.0,19.2,3.85,11,45.4,181
366,14,1995,206963,1.99,-1802.0,18.4,4.35,9,46.4,182
367,14,1990,187552,2.61,-1081.0,17.9,4.7,8,47.5,182
368,14,1985,164921,2.73,-1066.0,17.2,5.4,7,48.4,182
369,14,1980,144155,1.58,-2708.0,16.4,6.2,6,49.4,185
370,14,1975,133260,1.75,-2133.0,16.0,6.25,6,50.2,182
371,14,1970,122182,2.86,-591.0,16.3,6.35,5,51.0,180
372,14,1965,106119,2.88,-484.0,16.5,6.45,5,52.5,180
373,14,1960,92064,2.88,-549.0,17.8,6.55,4,54.0,179
374,14,1955,79870,2.99,-591.0,18.6,6.65,4,54.7,180
375,15,2020,12123200,2.73,-2000.0,18.8,4.87,108,48.4,77
376,15,2019,11801151,2.75,-2000.0,18.4,5.15,105,47.9,77
377,15,2018,11485044,2.77,-2000.0,18.4,5.15,102,47.3,78
378,15,2017,11175198,2.79,-2000.0,18.4,5.15,99,46.8,81
379,15,2016,10872063,2.8,-2000.0,18.4,5.15,96,46.2,81
380,15,2015,10575952,2.83,-8454.0,18.2,5.22,94,45.7,85
381,15,2010,9199259,2.88,-9755.0,17.9,5.49,82,43.1,90
382,15,2005,7982225,3.06,5001.0,17.6,5.78,71,40.5,92
383,15,2000,6865951,3.06,-570.0,17.3,6.16,61,38.3,94
384,15,1995,5905558,3.47,13652.0,17.2,6.56,52,36.8,95
385,15,1990,4978496,3.08,-1745.0,17.1,6.88,44,34.5,103
386,15,1985,4278501,2.85,-2170.0,17.3,7.01,38,30.8,106
387,15,1980,3717165,2.63,-3879.0,17.7,7.0,33,27.3,107
388,15,1975,3265165,2.31,-4969.0,18.3,6.83,29,21.9,110
389,15,1970,2912340,2.04,-4748.0,19.1,6.65,26,16.7,109
390,15,1965,2632356,1.6,-4859.0,20.0,6.42,23,12.5,109
391,15,1960,2431622,1.09,-4600.0,20.9,6.13,22,9.3,109
392,15,1955,2303587,0.43,-4600.0,22.3,5.86,20,6.8,109
410,16,2020,771608,1.12,320.0,28.1,2.0,20,45.8,165
411,16,2019,763092,1.15,320.0,26.2,2.1,20,45.1,165
412,16,2018,754388,1.18,320.0,26.2,2.1,20,44.3,165
413,16,2017,745563,1.2,320.0,26.2,2.1,20,43.5,165
414,16,2016,736708,1.21,320.0,26.2,2.1,19,42.7,165
415,16,2015,727876,1.21,60.0,25.7,2.12,19,41.8,165
416,16,2010,685503,1.11,-2194.0,23.3,2.55,18,36.9,165
417,16,2005,648739,1.88,1234.0,21.4,3.1,17,31.3,164
418,16,2000,591021,2.03,29.0,19.5,4.0,16,24.7,165
419,16,1995,534620,0.14,-11713.0,18.4,5.0,14,19.8,163
420,16,1990,530804,2.71,319.0,18.1,5.9,14,16.6,162
421,16,1985,464266,2.67,159.0,18.0,6.35,12,13.0,161
422,16,1980,406875,3.15,2003.0,18.3,6.6,11,10.2,161
423,16,1975,348396,3.22,2000.0,18.5,6.6,9,7.9,163
424,16,1970,297316,3.2,2000.0,18.9,6.6,8,6.1,166
425,16,1965,253994,2.61,1000.0,18.9,6.6,7,4.7,166
426,16,1960,223288,2.49,1000.0,18.8,6.67,6,3.6,167
427,16,1955,197457,2.23,1000.0,18.5,6.67,5,2.8,166
428,17,2020,11673021,1.39,-9504.0,25.6,2.75,11,69.3,80
429,17,2019,11513100,1.41,-9504.0,24.4,2.99,11,69.0,81
430,17,2018,11353142,1.43,-9504.0,24.4,2.99,10,68.6,80
431,17,2017,11192855,1.46,-9504.0,24.4,2.99,10,68.2,80
432,17,2016,11031814,1.49,-9504.0,24.4,2.99,10,67.8,80
433,17,2015,10869730,1.58,-11524.0,24.1,3.05,10,67.5,80
434,17,2010,10048590,1.71,-13540.0,22.9,3.4,9,65.6,82
435,17,2005,9232306,1.86,-15544.0,21.9,3.85,9,63.4,83
436,17,2000,8418264,2.01,-12866.0,21.1,4.25,8,61.2,86
437,17,1995,7622338,2.12,-10334.0,20.5,4.68,7,58.7,88
438,17,1990,6864842,2.13,-12852.0,20.0,5.07,6,55.5,90
439,17,1985,6179460,2.06,-14734.0,19.7,5.3,6,50.8,90
440,17,1980,5579935,2.21,-8026.0,19.5,5.65,5,45.5,90
441,17,1975,5001419,2.21,-5324.0,19.4,5.9,5,41.4,88
442,17,1970,4484004,2.11,-4630.0,19.3,6.1,4,40.0,91
443,17,1965,4038872,2.01,-4152.0,19.3,6.3,4,38.6,87
444,17,1960,3656955,1.88,-2352.0,19.3,6.4,3,37.1,89
445,17,1955,3331036,1.57,-4772.0,19.8,6.5,3,35.7,87
446,18,2020,3280819,-0.61,-21585.0,43.1,1.27,64,52.3,135
447,18,2019,3301000,-0.69,-21585.0,41.2,1.31,65,51.6,135
448,18,2018,3323925,-0.82,-21585.0,41.2,1.31,65,50.9,135
449,18,2017,3351525,-1.03,-21585.0,41.2,1.31,66,50.1,135
450,18,2016,3386266,-1.26,-21585.0,41.2,1.31,66,49.4,134
452,18,2010,3705472,-0.32,-11849.0,38.9,1.31,73,45.8,129
453,18,2005,3765331,0.08,-1200.0,36.9,1.32,74,44.2,126
454,18,2000,3751176,-0.41,-31857.0,35.0,1.68,74,42.6,124
456,18,1990,4463423,0.32,-26917.0,29.8,1.86,88,39.2,107
457,18,1985,4392131,1.0,-6000.0,27.3,2.02,86,37.6,104
458,18,1980,4179855,0.96,-14826.0,25.4,2.27,82,35.5,102
459,18,1975,3985105,1.17,-16449.0,23.4,2.73,78,31.3,101
460,18,1970,3760529,1.24,-19392.0,22.2,3.14,74,27.2,98
461,18,1965,3535643,1.85,-10000.0,21.9,3.68,69,22.8,94
462,18,1960,3225668,1.9,-10000.0,21.8,3.97,63,19.0,95
463,18,1955,2936309,1.99,-10000.0,20.8,4.82,58,16.2,94
464,19,2020,2351627,2.08,3000.0,24.0,2.89,4,72.8,145
465,19,2019,2303697,2.2,3000.0,23.2,2.99,4,72.3,145
466,19,2018,2254068,2.22,3000.0,23.2,2.99,4,71.9,145
467,19,2017,2205080,2.09,3000.0,23.2,2.99,4,71.4,145
468,19,2016,2159927,1.85,3000.0,23.2,2.99,4,70.8,144
469,19,2015,2120716,1.31,-14628.0,23.0,3.01,4,70.0,144
470,19,2010,1987105,2.01,5386.0,22.2,3.03,4,63.3,147
471,19,2005,1799078,1.83,5386.0,21.0,3.19,3,57.7,147
472,19,2000,1643334,2.27,7289.0,19.7,3.49,3,56.0,147
473,19,1995,1469174,2.69,4859.0,18.3,4.13,3,52.3,147
474,19,1990,1286756,3.77,9364.0,17.2,4.9,2,44.9,148
475,19,1985,1069582,3.56,1041.0,15.9,5.95,2,29.7,149
476,19,1980,897868,3.91,3549.0,15.7,6.35,2,18.4,150
477,19,1975,741355,3.38,798.0,15.9,6.55,1,13.2,151
478,19,1970,627715,2.31,-4840.0,16.1,6.7,1,8.7,151
479,19,1965,559994,2.18,-4487.0,16.9,6.65,1,4.1,152
480,19,1960,502745,1.65,-6124.0,18.3,6.58,1,3.2,151
481,19,1955,463359,2.35,-1531.0,18.8,6.5,1,2.9,152
517,20,2020,437479,0.97,0.0,32.3,1.85,83,79.5,175
518,20,2019,433285,1.01,0.0,30.4,1.98,82,79.0,175
519,20,2018,428963,1.06,0.0,30.4,1.98,81,78.6,175
520,20,2017,424473,1.11,0.0,30.4,1.98,81,78.1,175
521,20,2016,419800,1.18,0.0,30.4,1.98,80,77.6,175
522,20,2015,414907,1.32,-180.0,29.9,2.02,79,77.2,175
523,20,2010,388646,1.26,-451.0,27.5,1.88,74,75.0,176
524,20,2005,365114,1.85,84.0,26.8,2.22,69,73.2,176
525,20,2000,333165,2.32,838.0,25.5,2.51,63,71.2,175
526,20,1995,297114,2.81,954.0,24.0,3.08,56,68.7,175
527,20,1990,258721,2.88,737.0,23.1,3.47,49,66.5,176
528,20,1985,224449,2.97,724.0,21.2,3.79,43,65.7,178
529,20,1980,193879,3.71,1659.0,20.2,4.45,37,65.0,178
530,20,1975,161626,4.53,2177.0,19.6,5.49,31,64.2,178
531,20,1970,129529,4.82,2169.0,18.4,5.9,25,61.7,179
532,20,1965,102386,4.62,1284.0,17.7,6.66,19,52.6,187
533,20,1960,81702,5.22,1402.0,19.4,6.89,16,43.4,184
535,21,2020,6948445,-0.74,-4800.0,44.6,1.56,64,75.6,107
536,21,2019,7000119,-0.73,-4800.0,43.6,1.52,64,75.2,107
537,21,2018,7051608,-0.72,-4800.0,43.6,1.52,65,74.9,106
538,21,2017,7102444,-0.69,-4800.0,43.6,1.52,65,74.5,105
539,21,2016,7151953,-0.66,-4800.0,43.6,1.52,66,74.1,105
540,21,2015,7199741,-0.61,-4894.0,43.4,1.52,66,73.8,103
541,21,2010,7425008,-0.69,-16748.0,42.3,1.52,68,72.1,99
542,21,2005,7686962,-0.79,-17100.0,41.1,1.25,71,70.6,93
543,21,2000,7997957,-0.93,-26765.0,39.7,1.2,74,68.9,91
545,21,1990,8841458,-0.3,-36829.0,36.5,1.95,81,66.4,76
546,21,1985,8975361,0.22,-4469.0,35.3,2.01,83,64.6,72
547,21,1980,8878791,0.32,-18974.0,34.2,2.19,82,62.1,66
548,21,1975,8738392,0.54,-8679.0,33.7,2.16,80,57.6,63
549,21,1970,8507551,0.68,-1285.0,33.2,2.13,78,52.3,63
550,21,1965,8222589,0.84,-287.0,32.0,2.22,76,45.8,52
551,21,1960,7885607,0.84,-8693.0,30.4,2.3,73,37.1,57
552,21,1955,7561493,0.84,-20179.0,28.9,2.53,70,32.2,52
553,22,2020,20903273,2.86,-25000.0,17.6,5.23,76,30.6,59
554,22,2019,20321378,2.89,-25000.0,17.1,5.56,74,30.0,59
555,22,2018,19751466,2.91,-25000.0,17.1,5.56,72,29.4,59
556,22,2017,19193234,2.93,-25000.0,17.1,5.56,70,28.7,60
557,22,2016,18646357,2.96,-25000.0,17.1,5.56,68,28.1,60
558,22,2015,18110624,3.02,-25000.0,17.0,5.65,66,27.5,60
559,22,2010,15605217,3.06,-25000.0,16.7,6.08,57,24.6,64
560,22,2005,13421930,2.95,-25000.0,16.6,6.43,49,21.5,65
561,22,2000,11607942,2.84,-27500.0,16.4,6.73,42,17.8,67
562,22,1995,10089878,2.75,-30000.0,16.3,6.93,37,15.1,73
563,22,1990,8811034,2.66,-36740.0,16.3,7.07,32,13.8,77
566,22,1975,6154545,1.82,-34053.0,17.8,6.7,22,6.3,80
567,22,1970,5624600,1.68,-28945.0,18.3,6.56,21,5.7,77
568,22,1965,5174870,1.39,-28945.0,18.8,6.35,19,5.2,74
569,22,1960,4829288,1.35,-20432.0,19.1,6.24,18,4.7,74
570,22,1955,4517155,1.06,-20432.0,19.4,6.1,17,4.2,74
578,23,2005,7364862,2.92,-4944.0,16.2,6.77,287,9.4,97
581,23,1990,5438957,2.74,-36001.0,16.1,7.46,212,6.2,96
582,23,1985,4750837,2.71,-27829.0,16.9,7.38,185,5.2,101
583,23,1980,4157298,2.35,-30058.0,17.4,7.4,162,4.3,103
585,23,1970,3479074,2.37,-11580.0,17.1,7.23,135,2.8,104
586,23,1965,3094379,2.03,-16998.0,17.6,7.05,120,2.3,103
587,23,1960,2797932,1.98,-14010.0,18.3,6.86,109,2.1,103
588,23,1955,2537157,1.9,-13989.0,18.9,6.8,99,1.9,103
589,24,2020,555987,1.1,-1342.0,27.6,2.29,138,68.0,172
590,24,2019,549935,1.13,-1342.0,25.6,2.45,136,67.4,172
591,24,2018,543767,1.17,-1342.0,25.6,2.45,135,66.9,172
592,24,2017,537498,1.2,-1342.0,25.6,2.45,133,66.3,172
593,24,2016,531146,1.22,-1342.0,25.6,2.45,132,65.8,172
594,24,2015,524743,1.27,-1606.0,25.1,2.5,130,65.3,172
595,24,2010,492654,1.25,-2268.0,22.6,2.71,122,63.0,171
596,24,2005,463032,1.58,-1972.0,19.8,3.23,115,59.1,170
597,24,2000,428188,2.08,-1088.0,18.0,3.94,106,54.3,169
598,24,1995,386284,2.71,-1275.0,17.1,5.05,96,49.1,170
599,24,1990,337950,1.63,-5551.0,16.8,5.63,84,44.6,173
600,24,1985,311678,1.89,-4063.0,16.9,6.1,77,31.8,172
601,24,1980,283847,0.99,-5596.0,16.0,6.62,70,23.8,170
602,24,1975,270247,0.12,-6981.0,15.8,6.86,67,21.6,167
603,24,1970,268627,3.12,853.0,15.7,6.97,67,19.7,167
604,24,1965,230418,2.69,-233.0,16.8,6.97,57,18.2,167
605,24,1960,201765,0.46,-4555.0,20.5,6.76,50,16.7,168
606,24,1955,197195,2.06,-1185.0,21.7,6.57,49,15.4,167
607,25,2020,16718965,1.41,-30000.0,25.6,2.52,95,24.2,71
608,25,2019,16486542,1.46,-30000.0,24.3,2.66,93,23.8,70
609,25,2018,16249792,1.5,-30000.0,24.3,2.66,92,23.4,70
610,25,2017,16009409,1.54,-30000.0,24.3,2.66,91,23.0,70
611,25,2016,15766292,1.58,-30000.0,24.3,2.66,89,22.6,70
612,25,2015,15521436,1.64,-30000.0,24.0,2.7,88,22.2,70
614,25,2005,13273354,1.78,-7031.0,20.4,3.44,75,19.2,66
617,25,1990,8975597,3.07,-15604.0,17.9,5.99,51,15.5,75
618,25,1985,7714880,2.88,-17771.0,18.5,6.37,44,13.9,78
620,25,1975,7524447,1.47,-25000.0,17.6,6.16,43,4.5,69
622,25,1965,6467197,2.48,0.0,16.7,6.95,37,10.8,67
623,25,1960,5722370,2.55,0.0,17.2,6.95,32,10.3,67
624,25,1955,5045288,2.62,0.0,17.9,6.95,29,10.2,67
625,26,2020,26545863,2.59,-4800.0,18.7,4.6,56,56.3,52
626,26,2019,25876380,2.62,-4800.0,18.3,4.88,55,55.7,52
627,26,2018,25216267,2.65,-4800.0,18.3,4.88,53,55.2,53
628,26,2017,24566073,2.67,-4800.0,18.3,4.88,52,54.6,54
629,26,2016,23926551,2.7,-4800.0,18.3,4.88,51,54.1,54
630,26,2015,23298368,2.75,-7200.0,18.2,4.95,49,53.5,55
631,26,2010,20341241,2.78,-10800.0,17.9,5.25,43,50.6,58
632,26,2005,17733410,2.71,-10800.0,17.6,5.45,38,47.7,59
633,26,2000,15513945,2.67,-9600.0,17.2,5.75,33,44.8,60
634,26,1995,13599988,2.91,-9600.0,16.8,6.22,29,42.1,61
635,26,1990,11780088,3.19,-3900.0,16.7,6.6,25,39.4,60
636,26,1985,10070806,3.16,-3300.0,17.1,6.7,21,36.2,61
637,26,1980,8621406,2.96,0.0,17.7,6.5,18,31.9,68
638,26,1975,7451054,2.71,-500.0,18.4,6.31,16,27.3,70
639,26,1970,6519762,2.46,-200.0,19.1,6.09,14,20.3,69
640,26,1965,5773543,2.21,0.0,19.7,5.81,12,16.9,72
641,26,1960,5176918,1.92,0.0,20.3,5.53,11,13.9,72
642,26,1955,4706995,1.79,0.0,20.4,5.49,10,11.4,72
701,27,2010,4386768,1.67,-25123.0,17.7,5.3,7,39.5,121
702,27,2005,4038382,2.1,-4881.0,18.0,5.45,6,38.9,125
703,27,2000,3640427,2.47,6000.0,18.1,5.55,6,38.8,126
704,27,1995,3222656,2.8,10000.0,18.2,5.7,5,38.7,128
705,27,1990,2806734,2.0,-16000.0,18.1,5.9,5,38.6,129
706,27,1985,2542169,2.94,8000.0,18.8,5.9,4,36.8,131
707,27,1980,2199356,2.35,-200.0,18.8,5.9,4,35.1,131
708,27,1975,1958367,1.58,-10000.0,19.1,5.95,3,32.9,132
709,27,1970,1811144,2.01,2629.0,20.1,5.95,3,27.8,131
710,27,1965,1639706,1.77,2386.0,21.0,5.9,3,23.6,128
711,27,1960,1501668,1.39,0.0,21.7,5.75,2,20.1,130
712,27,1955,1401341,1.1,0.0,22.3,5.52,2,17.0,128
713,28,2020,16425864,3.0,2000.0,16.6,5.8,13,23.3,72
714,28,2019,15946876,3.03,2000.0,16.1,6.2,13,23.1,72
